Enter a file name
D:\Wesley\Downloads\alice.txt -i
, 62
pretending, 1
maynt, 1
why, 39
remark, 10
died, 1
denies, 1
dayschool, 1
alone, 4
thenbills, 1
rearing, 1
tortoise, 3
along, 5
writingdesks, 1
wig, 2
sad, 3
hottempered, 1
itll, 8
mentioned, 3
win, 1
sheep, 1
rest, 10
move, 3
butter, 3
sat, 17
saw, 14
earnestly, 2
say, 50
also, 2
enough, 17
terrier, 1
spread, 3
leant, 1
oclock, 3
oyster, 1
matters, 2
various, 1
guests, 3
shiny, 1
visit, 1
front, 2
denied, 2
simply, 2
oneself, 1
stupid, 6
pleasanter, 1
dipped, 2
bad, 2
fig, 1
bring, 3
luckily, 2
bag, 1
kiss, 1
fond, 3
losing, 1
offer, 2
fit, 3
familiarly, 1
hush, 3
bat, 3
fix, 1
honest, 1
trembled, 2
custard, 1
buttercup, 1
drowned, 1
afterwards, 2
adjourn, 1
grow, 13
sure, 24
shrink, 1
ah, 5
personal, 2
angry, 5
am, 15
an, 57
as, 262
straightening, 1
at, 210
submitted, 1
delay, 1
globe, 1
puppy, 6
turning, 12
looking, 31
applause, 1
patted, 1
drive, 2
hurt, 3
deal, 12
whos, 1
be, 146
prove, 1
ordering, 2
childlife, 1
dead, 4
footmans, 1
eyes, 27
spokefancy, 1
sea, 13
proves, 2
claws, 2
proved, 2
see, 66
search, 1
peeping, 1
sudden, 5
by, 56
civil, 3
whom, 1
behead, 1
cardboard, 1
dear, 29
tumbled, 1
foot, 10
nodded, 1
purring, 2
set, 14
onions, 1
keeping, 2
joined, 3
edgar, 1
quicker, 1
words, 21
uncivil, 1
lasted, 2
sneezes, 2
breathe, 3
writingdesk, 1
howled, 1
fly, 3
nowdont, 1
partner, 1
difficulties, 1
hadnt, 8
slateoh, 1
bed, 1
parchment, 2
