Enter a file name
D:\Wesley\Downloads\alice.txt
, 62
live, 8
ventured, 4
lodging, 1
wits, 1
inquisitively, 1
Allow, 1
with, 175
seeneverything, 1
flowerpot, 1
there, 49
Caterpillars, 1
lady, 3
hopeless, 1
sistersthey, 1
pocket, 5
wags, 1
considered, 3
changing, 2
afore, 1
flashed, 1
write, 5
pet, 1
dripping, 1
proceed, 2
impertinent, 1
understand, 6
waterwell, 1
slowly, 8
ever, 20
loving, 1
unhappy, 2
even, 17
arrum, 1
Jackinthebox, 1
appearing, 1
despair, 1
larger, 7
engaged, 1
queer, 11
hundred, 1
wait, 1
rapped, 1
ORANGE, 1
violence, 1
Quick, 1
laid, 2
raven, 1
cherrytart, 1
names, 2
tide, 1
New, 1
tonight, 1
almost, 6
arrow, 1
WAISTCOAT, 1
manner, 2
pie, 2
pig, 6
pegs, 1
whether, 11
RETURNED, 1
mineral, 1
counting, 1
terror, 1
swam, 5
However, 13
theyd, 4
arms, 6
twist, 2
rising, 1
replied, 29
prisoner, 1
cause, 3
oblong, 1
accidentally, 1
treaclewell, 1
Williams, 1
youve, 5
vulgar, 1
twentieth, 1
attending, 3
busy, 1
land, 1
explanations, 1
burn, 2
tied, 1
buttons, 1
SHES, 1
chief, 1
doubtful, 2
followed, 8
burning, 1
English, 6
conduct, 1
velvet, 1
treading, 2
Distraction, 1
machines, 1
tidy, 1
walk, 5
quietly, 5
WILLIAM, 2
fanned, 1
OLD, 2
eels, 1
Fainting, 1
lessen, 1
Thank, 3
welcome, 1
meeting, 1
MILLENNIUM, 1
began, 58
HEARTS, 1
want, 9
Dinahs, 1
againBEFORE, 1
must, 41
offend, 1
circle, 1
memorandum, 1
sourand, 1
neatly, 2
ONE, 4
Would, 8
giving, 2
prize, 1
raving, 2
accident, 2
pop, 1
found, 30
lark, 1
escape, 4
funny, 3
Really, 2
beating, 2
uneasily, 2
entirely, 2
standing, 1
feelings, 2
OURS, 1
till, 21
Once, 3
Anything, 1
Sing, 1
had, 177
MYSELF, 1
daisychain, 1
accounting, 1
Fetch, 1
late, 6
school, 5
things, 28
immense, 1
hat, 1
has, 6
cautiously, 3
brush, 1
given, 1
pronounced, 1
sighed, 5
last, 32
wash, 2
loveliest, 1
uncomfortable, 4
Nor, 1
Not, 9
measure, 1
Now, 11
downHere, 1
playing, 2
rattle, 1
swim, 3
chimneyNay, 1
jurymen, 5
asking, 5
impossible, 3
Was, 1
complaining, 1
dried, 1
settling, 1
anything, 18
yesterday, 3
LEAVE, 1
denying, 1
assembled, 2
contemptuously, 2
Soles, 1
steady, 1
vote, 1
earls, 2
yes, 1
yer, 4
yet, 18
gravely, 3
delightful, 2
time, 65
youll, 4
hed, 1
happy, 1
pun, 1
put, 31
her, 243
lessonbook, 1
hes, 2
Alices, 9
rustled, 1
having, 10
lesson, 1
LITTLE, 2
OUT, 1
tiny, 4
VIII, 1
isBe, 1
themI, 1
muddle, 1
hookah, 5
flinging, 1
uncomfortably, 1
lazy, 1
Digging, 2
ways, 1
crimson, 2
growl, 3
grown, 7
confusing, 3
Thats, 16
thenI, 1
Classics, 1
lately, 1
MORE, 2
Silence, 3
XII, 1
garden, 15
choice, 2
small, 10
hid, 1
beak, 1
saucepans, 1
before, 36
him, 37
listen, 7
wondering, 7
voicethe, 1
hit, 2
his, 94
beat, 4
interrupt, 1
sobs, 4
emphasis, 1
bear, 1
consider, 1
brightened, 2
Who, 13
Panther, 3
tree, 5
Why, 26
pleaded, 3
shouting, 2
history, 7
hersshe, 1
twice, 5
nibbling, 3
KING, 1
RABBIT, 1
managing, 1
croqueting, 1
their, 50
Adventures, 2
shepherd, 1
thirteen, 1
general, 3
sounds, 3
frighten, 1
ceiling, 1
WASHINGextra, 1
clear, 2
crowded, 5
Only, 3
riddlesI, 1
teapot, 1
clean, 1
meal, 1
mean, 10
neither, 2
glad, 11
meat, 1
persisted, 2
hurry, 11
blacking, 1
account, 1
uneasy, 1
been, 38
mostly, 2
furrows, 1
hoarse, 3
advance, 3
skimming, 1
rumbling, 1
hunting, 3
you, 309
knowledge, 3
soft, 1
happen, 8
delighted, 2
opportunity, 8
court, 17
sixpence, 1
Said, 4
venture, 3
teacups, 2
trying, 14
PLENTY, 1
Prizes, 2
beds, 1
processions, 1
shiver, 1
comes, 2
bottle, 10
hot, 5
how, 38
hearing, 4
chin, 7
tail, 9
subjects, 1
tells, 2
answer, 9
meet, 2
series, 1
seashore, 1
CURTSEYING, 1
Wow, 2
arches, 4
Footmans, 1
putting, 3
rubbed, 1
sometimes, 5
questions, 3
inclined, 1
promise, 1
hold, 6
tale, 3
isOh, 1
Rome, 1
absurd, 2
porpoise, 4
talk, 14
listened, 1
reply, 5
Same, 1
hatter, 1
For, 13
creep, 1
muttered, 2
Hand, 1
take, 18
immediate, 1
blame, 1
Turn, 3
confusion, 5
faceand, 1
carrying, 2
some, 48
